run_id,T_C,v_ms,RH_pct,thickness_mm,best_model,Page_k,Page_n,Page_tau,Page_RMSE,Page_AICc,Midilli_k,Midilli_n,Midilli_b,Midilli_tau,Midilli_RMSE,Midilli_AICc,Midilli-a_a,Midilli-a_k,Midilli-a_n,Midilli-a_b,Midilli-a_tau,Midilli-a_RMSE,Midilli-a_AICc,best_tau
T50V1p1_RH_25-28%,50,1.1,26.5,6,Midilli,0.0025283387926522006,1.2283636745468725,0.0,0.02029158329646334,-835.6398352566397,0.0052917009822942085,1.0235401353845388,-0.0005768189457316848,0.0,0.004300814692800422,-1168.585025615341,0.9976633986969323,0.005081232754852757,1.032207431580151,-0.0005647042197405469,0.0,0.0042776973593549,-1167.5492941975263,0.0
T50V1p1_RH_35-38%,50,1.1,36.5,6,Midilli-a,0.001780598833093102,1.2648315155575527,0.0,0.014498765662744405,-942.1247319923257,0.0029227285975727407,1.1341345076942289,-0.0003000173195949835,0.0,0.0045524558710588435,-1199.453978728717,0.9917978335531303,0.0025124294000859896,1.1651029111221534,-0.0002697272304897763,0.0,0.004187285263883361,-1215.9913588685488,0.0
T50V1p1_RH_40-45%,50,1.1,42.5,6,Midilli-a,0.0020139811649549665,1.2136993992970124,0.0,0.013639116342838759,-1230.7348343480248,0.002986154178176563,1.11766921859583,-0.00015929731297358295,0.0,0.007743354123418658,-1391.6572869752697,0.9868289568054678,0.002402119960565271,1.1596450464323003,-0.0001335337494413555,0.0,0.007232827633748239,-1409.153281307966,0.0
T50_v0p60,50,0.6,42.5,6,Midilli-a,0.0010392839568264722,1.265478617944622,0.0,0.012469548830024397,-1554.7318582993028,0.0014799808568992177,1.1847164351847894,-0.00010226187259075099,0.0,0.008173491959049192,-1703.0106075913,0.9806720595234545,0.0010255602917634266,1.2518989304062573,-7.264587720732558e-05,0.0,0.006885396741637796,-1761.944661478502,0.0
T50_v0p85,50,0.85,42.5,6,Midilli-a,0.0011518376655557227,1.2784536958872772,0.0,0.011133502887762381,-1631.0630720964775,0.0013620686669094933,1.2405502286096093,-4.123633704563753e-05,0.0,0.00995396193932801,-1669.735613783548,0.9789057422874284,0.0009369486185296373,1.3091895111987661,-1.8785682268517108e-05,0.0,0.008824997097927872,-1711.4398807325604,0.0
T50_v1p1,50,1.1,42.5,6,Midilli,0.001549558498682443,1.2576941945713074,0.0,0.012205373607014411,-1289.160583432045,0.0022205362585748416,1.169839689541675,-0.00014643082506420637,0.0,0.0063179019413750126,-1480.6425304475572,0.9975574737691585,0.0021327868284299546,1.1775743418468927,-0.0001418502643646551,0.0,0.006297090072782903,-1479.468755861883,0.0
T50_v1p1_t_10mm,50,1.1,36.5,10,Midilli-a,0.0016452883917213363,1.1460461398262267,0.0,0.017977356834386272,-1111.0047723423158,0.00271182933347776,1.038959482478224,-0.0001019626648588171,0.0,0.01379611409200579,-1182.4778838315387,0.9686712282770699,0.0014964913316740237,1.1441651011383367,-6.1031161978538423e-05,0.0,0.012279901812932228,-1212.6908680321876,0.0
T50_v1p1_t_4mm,50,1.1,36.5,4,Midilli-a,0.0016290958546600752,1.2804886055767128,0.0,0.014850669693946272,-802.0035113976317,0.002580295396794163,1.1524383648680772,-0.00036017143374503924,0.0,0.006755216035946924,-951.0689822380727,0.9867633799862527,0.001958789712324216,1.2104047022867763,-0.0002923201231874302,0.0,0.0059978024001523965,-971.6748648829063,0.0
T50_v1p1_t_6mm,50,1.1,36.5,6,Midilli-a,0.0017493229239934726,1.236811237371414,0.0,0.012119636054447623,-779.218889318714,0.0025308244034804492,1.1408956362524587,-0.0002014986546074254,0.0,0.0055382422079694234,-916.4257148038209,1.004588901346489,0.0027439369988113806,1.1248979881594936,-0.00021465504506093107,0.0,0.005449937952025593,-917.0399962809132,0.0
T50_v1p1_t_8mm,50,1.1,36.5,8,Midilli-a,0.002361985715995511,1.1435720049196907,0.0,0.009416417194378381,-1020.1397175747062,0.0027722818262450807,1.1067066432606647,-4.388327923796464e-05,0.0,0.00811910405016634,-1050.5968509191177,0.9823773239349272,0.0021085350750956297,1.156771817864427,-2.491988436091888e-05,0.0,0.0071276126646922944,-1077.0544415803463,0.0
T_40_v1p1,40,1.1,42.5,6,Midilli-a,0.0017433802592477022,1.1370931076882884,0.0,0.009381709575392048,-964.9106012138116,0.0021429930564398495,1.0927357682271408,-4.036705766804749e-05,0.0,0.007704494469947158,-1003.71385558242,0.9818164162969492,0.0015909425107957515,1.1446305086128497,-2.424960553538618e-05,0.0,0.00674767201730094,-1029.0877608434148,0.0
T_45_v1p1,45,1.1,42.5,6,Midilli-a,0.0017663901670958266,1.18169838901658,0.0,0.008698717573741504,-895.2064009420046,0.0021194101208343217,1.1402645216916285,-4.895490691158477e-05,0.0,0.006921504212224172,-936.4487661960329,0.9945813157325286,0.001946990924814439,1.1556205082813105,-4.31735888104331e-05,0.0,0.006822385372329576,-936.959603015297,0.0
T_50_v1p1,50,1.1,42.5,6,Midilli-a,0.0017957403481325418,1.2334757152797966,0.0,0.013173530537458613,-669.0848087653557,0.0026400557963532165,1.139065340483213,-0.0001511228154795581,0.0,0.006917803683212847,-767.342538456222,0.9921023839413761,0.00230185222666648,1.1655445947747052,-0.00013503916527880623,0.0,0.006687186655219135,-770.3463422783929,0.0
